path,class_name,valid,width,height,mode,sha256
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_1.jpg,Extrovert,True,2397,827,RGB,603c3d65056c38838b9ebc6a82771356f3bb55511c3ae44d29e6690f73b927b1
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_10.jpg,Extrovert,True,1075,280,RGB,6a85ccc4336e83b535a46283180f2b31e1f43c9ac292ebdcaef627a52d1a7f8e
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_100.jpg,Extrovert,True,2397,398,RGB,cfccff98029c7f965725b909504983c2c65e6920fc60f0c2bfca5916adf3773b
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_101.jpg,Extrovert,True,2708,738,RGB,87b3f34e233e4823a409e78cd12e9a3bbf415a6ff57e08cdb0b7ccf0422d020d
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_102.jpg,Extrovert,True,1504,715,RGB,fad5b9257d5d4f939eb1fdd0c7048123a7c1d55111a746b2042213cab8381255
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_103.jpg,Extrovert,True,1676,381,RGB,c626eacbdc20607f1240d411ce3cf5044a633b462e1f315c8de6b4d5e1f40425
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_104.jpg,Extrovert,True,1838,544,RGB,87a1511b53de3fb8cab7b174efaccdfc5f3609f4ce774c975cb62e3d4e3dd853
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_105.jpg,Extrovert,True,1155,555,RGB,aa9292eda64da5b52f53bc5d98feaa7449d2b1b33ba5edd4fecf59bd383dbdd9
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_106.jpg,Extrovert,True,1904,488,RGB,d5242ca5f2d6b7699abe0399b5ab5afee06c920126b563dd7014ebfab8439ed9
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_107.jpg,Extrovert,True,1611,464,RGB,d5742def1681d7c44ed92e2bcffa963c487a0df5d13f51a13ea2466fd322218e
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_108.jpg,Extrovert,True,1387,737,RGB,480c652292cd279b50d44b070b783dc497cb5a8d236085af9030c5f26a8d406a
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_109.jpg,Extrovert,True,2201,459,RGB,ac7d72d144d3c00c647ca855685b73c6af5025e20bfc3470d91d6292662cfa02
C:\Users\koush\OneDrive\Documents\archive (4)\Dataset\Extrovert\EX_11.jpg,Extrovert,True,1237,509,RGB,73d821cc8d735b379261bba78dddd246039ea169812fd7ec189d563ce746b604
